No.,Trade Date,Type,Ticker,Direction,Call/Put,Currency,Spot Price,% to Strike,Strike,Ref Price,Strike %,Prem Left,Expiry Date,DTE,Quantity,Notl (Local),Notl ($),Delta Notl,Broker,% Premium,Status,Premium ($),Delivery PnL,Combined PnL,Strategy,Notes,FX,Cum Premium,Entry Price,Current Price,Date,C/P,BBG Ticker
863,20-Mar-24,Listed - Stock,MSTR US,Buy,Put,USD,1300,30%,1000,1470,68.0%,,22-Mar-24,0,700,$1.03,$0.70,,UBS,0.12%,Unwound,"$1,214",$0,"$1,214",,,1,"$5,875,193",$2,FALSE,03/22/24,P,MSTR US 03/22/24 P1000 Equity
864,20-Mar-24,Listed - Stock,ARM US,Buy,Call,USD,131,11%,146,128.5,113.6%,,22-Mar-24,0,7500,$0.96,$1.10,,UBS,0.08%,Unwound,$784,$0,$784,,,1,"$5,875,977",$0,FALSE,03/22/24,C,ARM US 03/22/24 C146 Equity
865,20-Mar-24,Listed - Stock,MRNA US,Sell,Put,USD,103.08,9%,95,100.5,94.5%,,22-Mar-24,,100,$0.01,$0.01,,UBS,1.18%,Expired,$118,$0,$118,,,1,"$5,876,096",$1,FALSE,03/22/24,P,MRNA US 03/22/24 P95 Equity
866,22-Mar-24,OTC - Stock,688506 CH,Sell,Put,CNY,183.5,79%,102.4,128,80.0%,,22-May-24,0,113000,$14.46,$2.01,,GS,2.09%,Expired,"$42,047",$0,"$42,047",,,0.13892169,"$5,918,143",$0,,05/22/24,P,
867,22-Mar-24,Listed - Stock,MSTR US,Buy,Call,USD,1500,0%,1500,1527,98.2%,,22-Mar-24,,700,$1.07,$1.05,,UBS,1.77%,Unwound,"$18,889",$0,"$18,889",,,1,"$5,937,032",$27,FALSE,03/22/24,C,MSTR US 03/22/24 C1500 Equity
868,22-Mar-24,Listed - Stock,ARM US,Sell,Call,USD,126,17%,147,134,109.7%,,28-Mar-24,0,3600,$0.48,$0.53,,UBS,1.03%,Expired,"$4,976",$0,"$4,976",,,1,"$5,942,008",$1,FALSE,03/28/24,C,ARM US 03/28/24 C147 Equity
869,22-Mar-24,Listed - Stock,ARM US,Sell,Call,USD,126,15%,145,134,108.2%,,28-Mar-24,0,7100,$0.95,$1.03,,UBS,1.27%,Expired,"$12,099",$0,"$12,099",,,1,"$5,954,107",$2,FALSE,03/28/24,C,ARM US 03/28/24 C145 Equity
870,22-Mar-24,Listed - Stock,ONON US,Sell,Put,USD,31.58,0%,31.5,34.4,91.6%,,19-Apr-24,,"14,000",$0.48,$0.44,,UBS,1.06%,Expired,"$5,108",$0,"$5,108",,,1,"$5,959,215",$0,FALSE,04/19/24,P,ONON US 04/19/24 P31.5 Equity
871,25-Mar-24,Listed - Stock,MSTR US,Sell,Put,USD,1350,0%,1350,1700,79.4%,,28-Mar-24,0,600,$1.02,$0.81,,UBS,0.75%,Unwound,"$7,671",$0,"$7,671",,,1,"$5,966,886",$13,FALSE,03/28/24,P,MSTR US 03/28/24 P1350 Equity
872,25-Mar-24,Listed - Stock,MSTR US,Sell,Call,USD,2060,0%,2060,1700,121.2%,,28-Mar-24,0,600,$1.02,$1.24,,UBS,2.59%,Unwound,"$26,436",$0,"$26,436",,,1,"$5,993,321",$44,FALSE,03/28/24,C,MSTR US 03/28/24 C2060 Equity
873,25-Mar-24,Listed - Stock,MSTR US,Sell,Call,USD,2130,0%,2130,1700,125.3%,,28-Mar-24,0,1200,$2.04,$2.56,,UBS,1.73%,Unwound,"$35,381",$0,"$35,381",,,1,"$6,028,703",$29,FALSE,03/28/24,C,MSTR US 03/28/24 C2130 Equity
874,25-Mar-24,Listed - Stock,NTES US,Sell,Put,USD,93.51,-2%,95,103.0,92.2%,,19-Apr-24,,"7,700",$0.79,$0.73,,UBS,0.32%,Exercised,"$2,576","-$11,473","-$8,897",,,1,"$6,031,278",$0,FALSE,04/19/24,P,NTES US 04/19/24 P95 Equity
875,25-Mar-24,Listed - Stock,WOLF US,Sell,Put,USD,22.18,1%,22,27.2,80.9%,,19-Apr-24,,"13,500",$0.37,$0.30,,UBS,1.41%,Expired,"$5,191",$0,"$5,191",,,1,"$6,036,469",$0,FALSE,04/19/24,P,WOLF US 04/19/24 P22 Equity
876,25-Mar-24,Listed - Stock,ARM US,Sell,Call,USD,87.19,95%,170,140.4,121.1%,,19-Apr-24,,"4,500",$0.63,$0.77,,UBS,2.46%,Expired,"$15,535",$0,"$15,535",,,1,"$6,052,004",$3,FALSE,04/19/24,C,ARM US 04/19/24 C170 Equity
877,25-Mar-24,Listed - Stock,MSTR US,Sell,Call,USD,1970,0%,1970,1700,115.9%,,28-Mar-24,0,600,$1.02,$1.18,,UBS,1.88%,Unwound,"$19,136",$0,"$19,136",,,1,"$6,071,140",$32,FALSE,03/28/24,C,MSTR US 03/28/24 C1970 Equity
878,25-Mar-24,Listed - Stock,TSLA US,Sell,Put,USD,175,6%,165,172,95.9%,,28-Mar-24,0,6000,$1.03,$0.99,,UBS,0.40%,Expired,"$4,082",$0,"$4,082",,,1,"$6,075,222",$1,FALSE,03/28/24,P,TSLA US 03/28/24 P165 Equity
879,25-Mar-24,Listed - Stock,TSLA US,Sell,Put,USD,147.05,-5%,155,172.0,90.1%,,19-Apr-24,,"6,000",$1.03,$0.93,,UBS,1.87%,Exercised,"$19,257","-$47,700","-$28,443",,,1,"$6,094,479",$3,FALSE,04/19/24,P,TSLA US 04/19/24 P155 Equity
880,25-Mar-24,Listed - Stock,TSLA US,Sell,Put,USD,147.05,-11%,165,172.0,95.9%,,19-Apr-24,,"6,000",$1.03,$0.99,,UBS,3.47%,Exercised,"$35,852","-$107,700","-$71,848",,,1,"$6,130,331",$6,FALSE,04/19/24,P,TSLA US 04/19/24 P165 Equity
881,26-Mar-24,Listed - Stock,MSTR US,Sell,Put,USD,1700,0%,1700,1800,94.4%,,28-Mar-24,0,600,$1.08,$1.02,,UBS,1.80%,Unwound,"$19,461",$0,"$19,461",,,1,"$6,149,792",$32,FALSE,03/28/24,P,MSTR US 03/28/24 P1700 Equity
882,26-Mar-24,Listed - Stock,MSTR US,Sell,Put,USD,1750,0%,1750,1800,97.2%,,28-Mar-24,0,600,$1.08,$1.05,,UBS,2.54%,Unwound,"$27,411",$0,"$27,411",,,1,"$6,177,202",$46,FALSE,03/28/24,P,MSTR US 03/28/24 P1750 Equity
883,26-Mar-24,Listed - Stock,TSLA US,Sell,Put,USD,164.9,-6%,175,182,96.2%,,5-Apr-24,0,5400,$0.98,$0.95,,UBS,1.70%,Exercised,"$16,713","-$54,540","-$37,827",,,1,"$6,193,916",$3,FALSE,04/05/24,P,TSLA US 04/05/24 P175 Equity
884,26-Mar-24,Listed - Stock,TSLA US,Sell,Put,USD,147.05,-11%,165,182.0,90.7%,,19-Apr-24,,"8,300",$1.51,$1.37,,UBS,1.85%,Exercised,"$27,956","-$148,985","-$121,029",,,1,"$6,221,872",$3,FALSE,04/19/24,P,TSLA US 04/19/24 P165 Equity
885,26-Mar-24,Listed - Stock,ARM US,Sell,Call,USD,127,18%,150,141,106.4%,,28-Mar-24,0,4400,$0.62,$0.66,,UBS,0.76%,Expired,"$4,710",$0,"$4,710",,,1,"$6,226,582",$1,FALSE,03/28/24,C,ARM US 03/28/24 C150 Equity
886,27-Mar-24,OTC - Stock,SWAV US,Buy,Call,USD,329.00,6%,350,321.9,108.7%,,19-Apr-24,,"6,200",$2.00,$2.17,,UBS,-1.64%,Expired,"-$32,676",$0,"-$32,676",,,1,"$6,193,906",-$5,FALSE,04/19/24,C,
887,27-Mar-24,OTC - Stock,SWAV US,Sell,Put,USD,329.00,10%,300,321.9,93.2%,,19-Apr-24,,"6,200",$2.00,$1.86,,UBS,1.71%,Expired,"$34,100",$0,"$34,100",,,1,"$6,228,006",$6,FALSE,04/19/24,P,
888,28-Mar-24,Listed - Stock,MSTR US,Buy,Call,USD,2130,0%,2130,1700,125.3%,,28-Mar-24,0,1200,$2.04,$2.56,,UBS,-0.03%,Unwound,-$647,$0,-$647,,,1,"$6,227,358",-$1,FALSE,03/28/24,C,MSTR US 03/28/24 C2130 Equity
889,28-Mar-24,Listed - Stock,MSTR US,Buy,Call,USD,1970,0%,1970,1700,115.9%,,28-Mar-24,0,600,$1.02,$1.18,,UBS,-0.14%,Unwound,"-$1,461",$0,"-$1,461",,,1,"$6,225,898",-$2,FALSE,03/28/24,C,MSTR US 03/28/24 C1970 Equity
890,28-Mar-24,Listed - Stock,MSTR US,Buy,Call,USD,2060,0%,2060,1700,121.2%,,28-Mar-24,0,600,$1.02,$1.24,,UBS,-0.07%,Unwound,-$705,$0,-$705,,,1,"$6,225,193",-$1,FALSE,03/28/24,C,MSTR US 03/28/24 C2060 Equity
891,28-Mar-24,Listed - Stock,MSTR US,Buy,Put,USD,1350,0%,1350,1700,79.4%,,28-Mar-24,0,600,$1.02,$0.81,,UBS,-0.05%,Unwound,-$487,$0,-$487,,,1,"$6,224,706",-$1,FALSE,03/28/24,P,MSTR US 03/28/24 P1350 Equity
892,28-Mar-24,Listed - Stock,MSTR US,Buy,Put,USD,1700,0%,1700,1700,100.0%,,28-Mar-24,0,600,$1.02,$1.02,,UBS,-1.94%,Unwound,"-$19,800",$0,"-$19,800",,,1,"$6,204,906",-$33,FALSE,03/28/24,P,MSTR US 03/28/24 P1700 Equity
893,28-Mar-24,Listed - Stock,MSTR US,Buy,Put,USD,1750,0%,1750,1700,102.9%,,28-Mar-24,0,600,$1.02,$1.05,,UBS,-3.12%,Unwound,"-$31,791",$0,"-$31,791",,,1,"$6,173,116",-$53,FALSE,03/28/24,P,MSTR US 03/28/24 P1750 Equity
894,28-Mar-24,Listed - Stock,SWAV US,Sell,Put,USD,329.00,10%,300,330.0,90.9%,,19-Apr-24,,"3,000",$0.99,$0.90,,UBS,1.02%,Expired,"$10,143",$0,"$10,143",,,1,"$6,183,259",$3,FALSE,04/19/24,P,SWAV US 04/19/24 P300 Equity
