No.,Trade Date,Type,Ticker,Direction,Call/Put,Currency,Spot Price,% to Strike,Strike,Ref Price,Strike %,Prem Left,Expiry Date,DTE,Quantity,Notl (Local),Notl ($),Delta Notl,Broker,% Premium,Status,Premium ($),Delivery PnL,Combined PnL,Strategy,Notes,FX,Cum Premium,Entry Price,Current Price,Date,C/P,BBG Ticker
1,17-Aug-22,OTC - Stock,300012 CH,Sell,Put,CNY,20.89,4%,20.00,20.9037,95.7%,,19-Sep-22,0,"1,227,800",$25.67,$3.52,,MS,1.78%,Expired,"$67,283",$0,"$67,283",,,0.142755175,"$67,283",,,09/19/22,P,
2,18-Aug-22,OTC - Stock,300012 CH,Sell,Put,CNY,20.95,5%,20.00,20.1962,99.0%,,19-Sep-22,0,"437,200",$8.83,$1.25,,MS,2.95%,Expired,"$38,386",$0,"$38,386",,,0.142755175,"$105,669",,,09/19/22,P,
3,26-Aug-22,OTC - Stock,ONON US,Sell,Put,USD,16.56,-11%,18.66,20.7369,90.0%,,26-Sep-22,0,"240,000",$4.98,$4.48,,MS,2.15%,Exercised,"$106,992","-$504,000","-$397,008",,,1,"$212,661",,,09/26/22,P,
4,13-Sep-22,OTC - Stock,ONON US,Sell,Put,USD,17.14,-5%,18.00,19.28,93.4%,,13-Oct-22,0,"260,000",$5.01,$4.68,,MS,3.29%,Exercised,"$164,944","-$223,600","-$58,656",,,1,"$377,605",,,10/13/22,P,
5,20-Sep-22,OTC - Stock,300012 CH,Sell,Put,CNY,20.35,4%,19.50,20.407,95.6%,,20-Oct-22,0,"1,717,000",$35.04,$4.80,,MS,1.32%,Expired,"$66,104",$0,"$66,104",,,0.138609744,"$443,709",,,10/20/22,P,
6,20-Oct-22,OTC - Stock,002050 CH,Sell,Put,CNY,22.96,30%,17.60,20.703,85.0%,,21-Nov-22,0,"1,693,000",$35.05,$4.28,,MS,1.95%,Expired,"$94,469",$0,"$94,469",,,0.139561498,"$538,178",,,11/21/22,P,
7,4-Nov-22,OTC - Stock,AMZN US,Sell,Put,USD,91.01,19%,76.24,89.69,85.0%,,5-Dec-22,0,"22,500",$2.02,$1.72,,MS,0.80%,Expired,"$16,144",$0,"$16,144",,,1,"$554,322",,,12/05/22,P,
8,4-Nov-22,OTC - Stock,ONON US,Sell,Put,USD,18.86,26%,14.95,17.5916,85.0%,,5-Dec-22,0,"225,000",$3.96,$3.36,,MS,2.10%,Expired,"$83,115",$0,"$83,115",,,1,"$637,437",,,12/05/22,P,
9,4-Nov-22,OTC - Stock,PYPL US,Sell,Call,USD,73.62,22%,89.69,74.74,120.0%,,5-Dec-22,0,"27,500",$2.06,$2.47,,MS,0.49%,Expired,"$10,071",$0,"$10,071",,,1,"$647,507",,,12/05/22,C,
10,4-Nov-22,OTC - Stock,WOLF US,Sell,Put,USD,82.54,40%,59.16,73.9546,80.0%,,5-Dec-22,0,"13,700",$1.01,$0.81,,MS,1.05%,Expired,"$10,638",$0,"$10,638",,,1,"$658,145",,,12/05/22,P,
11,7-Nov-22,OTC - Stock,TSLA US,Sell,Put,USD,173.44,9%,159.20,198.995,80.0%,,8-Dec-22,0,"20,200",$4.02,$3.22,,MS,1.36%,Expired,"$54,613",$0,"$54,613",,,1,"$712,758",,,12/08/22,P,
12,10-Nov-22,OTC - Stock,NTES US,Sell,Call,USD,69.35,8%,74.64,62.2031,120.0%,,12-Dec-22,0,"32,100",$2.00,$2.40,,MS,1.03%,Expired,"$20,566",$0,"$20,566",,,1,"$733,324",,,12/12/22,C,
13,10-Nov-22,OTC - Stock,PYPL US,Sell,Call,USD,73.8,38%,101.92,84.93,120.0%,,12-Dec-22,0,"23,600",$2.00,$2.41,,MS,0.45%,Expired,"$9,020",$0,"$9,020",,,1,"$742,344",,,12/12/22,C,
14,17-Nov-22,OTC - Stock,SWAV US,Sell,Put,USD,216,12%,193.60,242,80.0%,,19-Dec-22,0,"8,200",$1.98,$1.59,,MS,0.70%,Expired,"$13,891",$0,"$13,891",,,1,"$756,235",,,12/19/22,P,
15,18-Nov-22,OTC - Stock,TSLA US,Sell,Put,USD,149.87,5%,142.40,177.9974,80.0%,,19-Dec-22,0,"11,200",$1.99,$1.59,,MS,1.47%,Expired,"$29,306",$0,"$29,306",,,1,"$785,541",,,12/19/22,P,
16,22-Nov-22,OTC - Stock,ADYEN NA,Sell,Put,EUR,1291.8,2%,1265.47,1488.79,85.0%,,22-Dec-22,0,"1,326",$1.97,$1.68,,MS,1.00%,Expired,"$19,741",$0,"$19,741",,,1.0596,"$805,282",,,12/22/22,P,
17,22-Nov-22,OTC - Stock,RMS FP,Sell,Put,EUR,1486.5,20%,1239.75,1458.5,85.0%,,16-Dec-22,0,"1,341",$1.96,$1.66,,GS,0.50%,Expired,"$9,779",$0,"$9,779",,,1.0586,"$815,062",,,12/16/22,P,
18,28-Nov-22,OTC - Stock,ADYEN NA,Sell,Put,EUR,1288.6,3%,1250.76,1471.4776,85.0%,,28-Dec-22,0,654,$0.96,$0.82,,MS,0.90%,Expired,"$8,661",$0,"$8,661",,,1.0612,"$823,723",,,12/28/22,P,
19,28-Nov-22,OTC - Stock,STAA US,Sell,Put,USD,46.82,-7%,50.15,59,85.0%,,28-Dec-22,0,"33,500",$1.98,$1.68,,MS,1.50%,Exercised,"$29,648","-$111,555","-$81,907",,,1,"$853,370",,,12/28/22,P,
20,28-Nov-22,OTC - Stock,UMG NA,Sell,Call,EUR,22.52,14%,25.65,22.3072,115.0%,,28-Dec-22,0,"172,313",$3.84,$4.42,,MS,0.37%,Expired,"$14,216",$0,"$14,216",,,1.0612,"$867,586",,,12/28/22,C,
21,29-Nov-22,OTC - Stock,002050 CH,Sell,Put,CNY,26.26,58%,16.67,20.8353,80.0%,,30-Jan-23,0,"700,000",$14.58,$1.67,,MS,1.00%,Expired,"$20,370",$0,"$20,370",,,0.148097685,"$887,956",,,01/30/23,P,
22,29-Nov-22,OTC - Stock,PYPL US,Sell,Put,USD,70.56,7%,66.13,77.7993,85.0%,,29-Dec-22,0,"12,800",$1.00,$0.85,,MS,0.90%,Expired,"$8,963",$0,"$8,963",,,1,"$896,919",,,12/29/22,P,
23,1-Dec-22,OTC - Stock,NTES US,Sell,Put,USD,76.45,40%,54.48,68.0994,80.0%,,3-Jan-23,0,"29,300",$2.00,$1.60,,MS,0.72%,Expired,"$14,366",$0,"$14,366",,,1,"$911,285",,,01/03/23,P,
24,1-Dec-22,OTC - Stock,ONON US,Sell,Call,USD,17.07,37%,23.38,19.4839,120.0%,,3-Jan-23,0,"54,400",$1.06,$1.27,,MS,0.80%,Expired,"$8,481",$0,"$8,481",,,1,"$919,765",,,01/03/23,C,
25,5-Dec-22,OTC - Stock,ADYEN NA,Sell,Put,EUR,1284.2,4%,1233.52,1451.2,85.0%,,5-Jan-23,0,653,$0.95,$0.81,,GS,1.05%,Expired,"$9,950",$0,"$9,950",,,1.0522,"$929,716",,,01/05/23,P,
26,5-Dec-22,OTC - Stock,ALGN US,Sell,Put,USD,219.82,37%,160.86,189.2414,85.0%,,5-Jan-23,0,"10,600",$2.01,$1.71,,MS,1.19%,Expired,"$23,871",$0,"$23,871",,,1,"$953,587",,,01/05/23,P,
27,5-Dec-22,OTC - Stock,AMZN US,Sell,Put,USD,83.12,7%,77.60,91.299,85.0%,,5-Jan-23,0,"21,900",$2.00,$1.70,,GS,0.64%,Expired,"$12,796",$0,"$12,796",,,1,"$966,383",,,01/05/23,P,
28,5-Dec-22,OTC - Stock,STAA US,Sell,Call,USD,58.15,33%,77.12,64.2687,120.0%,,5-Jan-23,0,"15,600",$1.00,$1.20,,GS,0.75%,Expired,"$7,519",$0,"$7,519",,,1,"$973,903",,,01/05/23,C,
29,5-Dec-22,OTC - Stock,TSLA US,Sell,Put,USD,110.34,-25%,148.00,185,80.0%,,5-Jan-23,0,"5,400",$1.00,$0.80,,MS,1.08%,Exercised,"$10,789","-$203,364","-$192,575",,,1,"$984,692",,,01/05/23,P,
30,6-Dec-22,OTC - Stock,DIM FP,Sell,Put,EUR,353,36%,260.49,325.6082,80.0%,,6-Feb-23,0,"5,877",$1.91,$1.53,,MS,0.86%,Expired,"$16,457",$0,"$16,457",,,1.0726,"$1,001,149",,,02/06/23,P,
31,6-Dec-22,OTC - Stock,TSLA US,Sell,Put,USD,113.06,-19%,140.40,175.5,80.0%,,6-Jan-23,0,"5,600",$0.98,$0.79,,MS,1.26%,Exercised,"$12,383","-$153,104","-$140,721",,,1,"$1,013,532",,,01/06/23,P,
32,6-Dec-22,OTC - Stock,UMG NA,Sell,Call,EUR,23.545,11%,26.24,22.815,115.0%,,20-Jan-23,0,"41,917",$0.96,$1.10,,GS,0.81%,Expired,"$7,746",$0,"$7,746",,,1.0856,"$1,021,278",,,01/20/23,C,
33,6-Dec-22,OTC - Stock,UMG NA,Sell,Call,EUR,23.495,11%,26.18,22.7634,115.0%,,6-Jan-23,0,"41,897",$0.95,$1.10,,MS,0.31%,Expired,"$2,996",$0,"$2,996",,,1.0644,"$1,024,274",,,01/06/23,C,
34,7-Dec-22,OTC - Stock,PDD US,Sell,Put,USD,95.52,42%,67.42,84.2759,80.0%,,9-Jan-23,0,"23,700",$2.00,$1.60,,GS,1.25%,Expired,"$24,967",$0,"$24,967",,,1,"$1,049,241",,,01/09/23,P,
35,8-Dec-22,OTC - Stock,300059 CH,Sell,Call,CNY,21.0696,9%,23.00,20,115.0%,,9-Jan-23,0,"698,000",$13.96,$2.29,,MS,1.00%,Expired,"$20,032",$0,"$20,032",,,0.147669044,"$1,069,273",,,01/09/23,C,
36,8-Dec-22,OTC - Stock,NTES US,Sell,Call,USD,79.52,9%,86.40,72,120.0%,,9-Jan-23,0,"27,700",$1.99,$2.39,,MS,0.97%,Expired,"$19,346",$0,"$19,346",,,1,"$1,088,618",,,01/09/23,C,
37,8-Dec-22,OTC - Stock,ONON US; PDD US; TSLA US,Sell,Put,USD,119.77,#VALUE!,14.26 / 72.64 / 137.39,17.82 / 90.8 / 171.74,0.0%,,9-Jan-23,0,,$1.00,$0.80,,GS,2.00%,Exercised,"$20,000",$0,$0,,,1,"$1,108,618",,,01/09/23,P,
38,8-Dec-22,OTC - Stock,RMS FP,Sell,Put,EUR,1628,27%,1283.50,1510,85.0%,,20-Jan-23,0,"1,257",$1.90,$1.61,,GS,0.82%,Expired,"$15,522",$0,"$15,522",,,1.0856,"$1,124,141",,,01/20/23,P,
39,8-Dec-22,OTC - Stock,WISE LN,Sell,Put,GBP,5.472,4%,5.24,6.55,80.0%,,20-Jan-23,0,"108,565",$0.71,$0.57,,GS,1.00%,Expired,"$7,111",$0,"$7,111",,,1.2397,"$1,131,252",,,01/20/23,P,
40,9-Dec-22,OTC - Stock,688036 CH,Sell,Call,CNY,76.43,27%,97.44,81.2,120.0%,,9-Jan-23,0,"85,709",$6.96,$1.19,,MS,0.80%,Expired,"$8,003",$0,"$8,003",,,0.147669044,"$1,139,254",,,01/09/23,C,
41,9-Dec-22,OTC - Stock,STAA US,Sell,Call,USD,65.44,14%,74.74,62.2795,120.0%,,9-Jan-23,0,"16,100",$1.00,$1.20,,GS,0.85%,Expired,"$8,523",$0,"$8,523",,,1,"$1,147,777",,,01/09/23,C,
42,9-Dec-22,OTC - Stock,WISE LN,Sell,Put,GBP,5.472,8%,5.06,6.32,80.0%,,20-Jan-23,0,"128,871",$0.81,$0.65,,GS,1.00%,Expired,"$8,145",$0,"$8,145",,,1.2397,"$1,155,922",,,01/20/23,P,
43,13-Dec-22,OTC - Stock,RMS FP,Sell,Put,EUR,1628,25%,1304.75,1535,85.0%,,20-Jan-23,0,"1,240",$1.90,$1.62,,GS,0.70%,Expired,"$13,324",$0,"$13,324",,,1.0856,"$1,169,246",,,01/20/23,P,
44,13-Dec-22,OTC - Stock,SWAV US,Sell,Put,USD,201.91,11%,181.24,226.5461,80.0%,,13-Jan-23,0,"8,900",$2.02,$1.61,,MS,0.96%,Expired,"$19,356",$0,"$19,356",,,1,"$1,188,602",,,01/13/23,P,
45,13-Dec-22,OTC - Stock,TSLA US,Sell,Put,USD,122.4,-7%,131.11,163.8886,80.0%,,13-Jan-23,0,"12,000",$1.97,$1.57,,MS,1.50%,Exercised,"$29,500","-$104,520","-$75,020",,,1,"$1,218,101",,,01/13/23,P,
46,14-Dec-22,OTC - Stock,STAA US,Sell,Put,USD,73.93,57%,47.12,58.9,80.0%,,17-Jan-23,0,"16,900",$1.00,$0.80,,MS,1.37%,Expired,"$13,637",$0,"$13,637",,,1,"$1,231,738",,,01/17/23,P,
47,14-Dec-22,OTC - Stock,TSLA US,Sell,Put,USD,133.42,5%,126.67,156.6887,80.8%,,20-Jan-23,0,"6,300",$0.99,$0.80,,MS,2.16%,Expired,"$21,368",$0,"$21,368",,,1,"$1,253,105",,,01/20/23,P,
48,14-Dec-22,OTC - Stock,NTES US,Sell,Call,USD,89.06,-1%,87.96,73.3,120.0%,,17-Jan-23,0,"27,500",$2.02,$2.42,,MS,0.86%,Exercised,"$17,336","-$30,250","-$12,914",,,1,"$1,270,441",,,01/17/23,C,
49,14-Dec-22,OTC - Stock,ONON US,Sell,Put,USD,21.36,49%,14.31,17.8931,80.0%,,17-Jan-23,0,"55,900",$1.00,$0.80,,GS,0.71%,Expired,"$7,102",$0,"$7,102",,,1,"$1,277,543",,,01/17/23,P,
50,14-Dec-22,OTC - Stock,ONON US,Sell,Put,USD,21.36,41%,15.10,17.76,85.0%,,17-Jan-23,0,"56,100",$1.00,$0.85,,MS,1.36%,Expired,"$13,548",$0,"$13,548",,,1,"$1,291,091",,,01/17/23,P,
51,14-Dec-22,OTC - Stock,MRNA US,Sell,Put,USD,190.69,6%,179.30,210.9414,85.0%,,17-Jan-23,0,"4,700",$0.99,$0.84,,GS,1.78%,Expired,"$17,647",$0,"$17,647",,,1,"$1,308,739",,,01/17/23,P,
52,16-Dec-22,OTC - Stock,RMS FP,Sell,Put,EUR,1628,29%,1257.15,1479,85.0%,,20-Jan-23,0,665,$0.98,$0.84,,GS,0.63%,Expired,"$6,242",$0,"$6,242",,,1.0856,"$1,314,981",,,01/20/23,P,
53,16-Dec-22,OTC - Stock,WISE LN,Sell,Put,GBP,5.472,8%,5.07,5.96,85.0%,,20-Jan-23,0,"137,350",$0.82,$0.70,,MS,1.20%,Expired,"$9,823",$0,"$9,823",,,1.2397,"$1,324,804",,,01/20/23,P,
54,16-Dec-22,OTC - Stock,ADYEN NA,Sell,Put,EUR,1323.2,13%,1172.52,1379.44,85.0%,,20-Jan-23,0,682,$0.94,$0.80,,MS,1.00%,Expired,"$9,408",$0,"$9,408",,,1.0856,"$1,334,212",,,01/20/23,P,
55,19-Dec-22,OTC - Stock,DIM FP,Sell,Put,EUR,330.6,31%,253.11,297.7804,85.0%,,17-Feb-23,0,"3,290",$0.98,$0.83,,GS,1.65%,Expired,"$16,165",$0,"$16,165",,,1.0695,"$1,350,377",,,02/17/23,P,
56,19-Dec-22,OTC - Stock,AMZN US,Sell,Put,USD,102.24,46%,70.00,85.36,82.0%,,27-Jan-23,0,"11,700",$1.00,$0.82,,MS,0.70%,Expired,"$7,008",$0,"$7,008",,,1,"$1,357,385",,,01/27/23,P,
57,19-Dec-22,OTC - Stock,STAA US,Sell,Put,USD,70.63,77%,39.99,49.9878,80.0%,,20-Jan-23,0,"20,000",$1.00,$0.80,,MS,1.28%,Expired,"$12,796",$0,"$12,796",,,1,"$1,370,181",,,01/20/23,P,
58,20-Dec-22,OTC - Stock,688036 CH,Sell,Call,CNY,86.6,12%,96.96,80.8,120.0%,,1-Feb-23,0,"87,000",$7.03,$1.21,,MS,0.75%,Expired,"$7,552",$0,"$7,552",,,0.14831954,"$1,377,733",,,02/01/23,C,
59,20-Dec-22,OTC - Stock,EVO SS,Sell,Put,SEK,1317,48%,891.90,990.997,90.0%,,17-Feb-23,0,"10,485",$10.39,$0.90,,MS,2.25%,Expired,"$22,458",$0,"$22,458",,,0.095627,"$1,400,191",,,02/17/23,P,
60,21-Dec-22,OTC - Stock,UMG NA,Sell,Call,EUR,22.52,15%,26.01,22.62,115.0%,,17-Feb-23,0,"83,601",$1.89,$2.17,,MS,0.53%,Expired,"$10,066",$0,"$10,066",,,1.0695,"$1,410,257",,,02/17/23,C,
61,21-Dec-22,OTC - Stock,WOLF US,Sell,Put,USD,79.92,28%,62.50,76.7371,81.4%,,20-Jan-23,0,"13,000",$1.00,$0.81,,MS,1.01%,Expired,"$10,083",$0,"$10,083",,,1,"$1,420,339",,,01/20/23,P,
62,28-Dec-22,OTC - Stock,PDD US,Sell,Put,USD,97.15,51%,64.41,80.5131,80.0%,,30-Jan-23,0,"12,400",$1.00,$0.80,,GS,0.72%,Expired,"$7,188",$0,"$7,188",,,1,"$1,427,528",,,01/30/23,P,
63,28-Dec-22,OTC - Stock,MRNA US,Sell,Put,USD,180.87,29%,140.60,175.75,80.0%,,30-Jan-23,0,"5,700",$1.00,$0.80,,GS,0.93%,Expired,"$9,317",$0,"$9,317",,,1,"$1,436,844",,,01/30/23,P,
64,29-Dec-22,OTC - Stock,002706 CH,Sell,Call,CNY,14.29,23%,17.52,14.6,120.0%,,28-Feb-23,0,"490,000",$7.15,$1.23,,MS,1.60%,Expired,"$16,415",$0,"$16,415",,,0.144183632,"$1,453,259",,,02/28/23,C,
65,3-Jan-23,OTC - Stock,UMG NA,Sell,Call,EUR,22.675,23%,27.94,23.28,120.0%,,27-Feb-23,0,"122,353",$2.85,$3.42,,MS,0.40%,Expired,"$11,391",$0,"$11,391",,,1.0609,"$1,464,650",,,02/27/23,C,
66,3-Jan-23,OTC - Stock,NTES US,Sell,Call,USD,89.9,3%,92.63,77.1919,120.0%,,3-Feb-23,0,"13,000",$1.00,$1.20,,GS,0.68%,Expired,"$6,819",$0,"$6,819",,,1,"$1,471,469",,,02/03/23,C,
67,4-Jan-23,OTC - Stock,002706 CH,Sell,Call,CNY,13.71,29%,17.69,14.74,120.0%,,6-Mar-23,0,"469,000",$6.91,$1.20,,MS,1.60%,Expired,"$16,021",$0,"$16,021",,,0.144262673,"$1,487,490",,,03/06/23,C,
68,4-Jan-23,OTC - Stock,ADYEN NA,Sell,Put,EUR,1466.8,31%,1122.11,1320.1293,85.0%,,17-Feb-23,0,757,$1.00,$0.85,,GS,1.65%,Expired,"$16,489",$0,"$16,489",,,1.0695,"$1,503,980",,,02/17/23,P,
69,4-Jan-23,OTC - Stock,ADYEN NA,Sell,Put,EUR,1466.8,39%,1056.10,1320.1293,80.0%,,17-Feb-23,0,757,$1.00,$0.80,,GS,1.00%,Expired,"$9,993",$0,"$9,993",,,1.0695,"$1,513,973",,,02/17/23,P,
70,4-Jan-23,OTC - Stock,AMZN US,Sell,Put,USD,103.39,52%,67.88,84.8485,80.0%,,3-Feb-23,0,"11,800",$1.00,$0.80,,GS,0.69%,Expired,"$6,908",$0,"$6,908",,,1,"$1,520,881",,,02/03/23,P,
71,4-Jan-23,OTC - Stock,STAA US,Sell,Call,USD,70.24,4%,72.72,55.9354,130.0%,,17-Feb-23,0,"17,900",$1.00,$1.30,,GS,0.97%,Expired,"$9,712",$0,"$9,712",,,1,"$1,530,593",,,02/17/23,C,
72,4-Jan-23,OTC - Stock,TSLA US,Sell,Put,USD,189.98,111%,90.00,109.5999,82.1%,,3-Feb-23,0,"9,000",$0.99,$0.81,,MS,3.17%,Expired,"$31,230",$0,"$31,230",,,1,"$1,561,823",,,02/03/23,P,
73,4-Jan-23,OTC - Stock,NTES US,Sell,Call,USD,85.84,16%,100.00,82.57,121.1%,,17-Feb-23,0,"12,200",$1.01,$1.22,,MS,1.20%,Expired,"$12,093",$0,"$12,093",,,1,"$1,573,916",,,02/17/23,C,
74,4-Jan-23,OTC - Stock,NTES US,Sell,Call,USD,89.9,6%,95.00,80.65,117.8%,,3-Feb-23,0,"24,900",$2.01,$2.37,,MS,0.93%,Expired,"$18,737",$0,"$18,737",,,1,"$1,592,653",,,02/03/23,C,
75,4-Jan-23,OTC - Stock,PYPL US,Sell,Call,USD,85.52,11%,95.00,77.2,123.1%,,3-Feb-23,0,"12,900",$1.00,$1.23,,MS,0.90%,Expired,"$8,941",$0,"$8,941",,,1,"$1,601,594",,,02/03/23,C,
76,5-Jan-23,OTC - Stock,002050 CH,Sell,Put,CNY,24.5,47%,16.68,20.854,80.0%,,6-Mar-23,0,"332,800",$6.94,$0.81,,MS,0.90%,Expired,"$9,089",$0,"$9,089",,,0.144262673,"$1,610,683",,,03/06/23,P,
77,5-Jan-23,OTC - Stock,WISE LN,Sell,Put,GBP,5.818,30%,4.47,5.5881,80.0%,,17-Feb-23,0,"152,437",$0.85,$0.68,,MS,0.75%,Expired,"$6,389",$0,"$6,389",,,1.2037,"$1,617,072",,,02/17/23,P,
78,6-Jan-23,OTC - Stock,DIM FP,Sell,Put,EUR,301.8,31%,231.13,288.9112,80.0%,,17-Mar-23,0,"3,470",$1.00,$0.80,,GS,1.10%,Expired,"$11,028",$0,"$11,028",,,1.067,"$1,628,099",,,03/17/23,P,
79,9-Jan-23,OTC - Stock,WISE LN,Sell,Put,GBP,5.818,28%,4.55,5.686,80.0%,,17-Feb-23,0,"289,502",$1.65,$1.32,,MS,0.90%,Expired,"$14,815",$0,"$14,815",,,1.2037,"$1,642,915",,,02/17/23,P,
80,9-Jan-23,OTC - Stock,UMG NA,Sell,Call,EUR,21.375,26%,26.91,23.4,115.0%,,17-Mar-23,0,"79,717",$1.87,$2.15,,MS,0.91%,Expired,"$17,036",$0,"$17,036",,,1.067,"$1,659,950",,,03/17/23,C,
81,9-Jan-23,OTC - Stock,ADYEN NA,Sell,Put,EUR,1466.8,41%,1039.50,1299.3806,80.0%,,17-Feb-23,0,770,$1.00,$0.80,,GS,0.95%,Expired,"$9,505",$0,"$9,505",,,1.0695,"$1,669,455",,,02/17/23,P,
82,9-Jan-23,OTC - Stock,300059 CH,Sell,Call,CNY,20.0004,26%,25.28,21.07,120.0%,,9-Mar-23,0,"645,500",$13.60,$2.41,,MS,1.50%,Expired,"$30,080",$0,"$30,080",,,0.143572957,"$1,699,536",,,03/09/23,C,
83,9-Jan-23,OTC - Stock,AMZN US,Sell,Call,USD,97.61,10%,107.19,89.3215,120.0%,,10-Feb-23,0,"11,200",$1.00,$1.20,,GS,0.83%,Expired,"$8,303",$0,"$8,303",,,1,"$1,707,839",,,02/10/23,C,
84,9-Jan-23,OTC - Stock,WOLF US,Sell,Put,USD,77.63,41%,55.00,71.1232,77.3%,,17-Feb-23,0,"14,200",$1.01,$0.78,,MS,1.85%,Expired,"$18,693",$0,"$18,693",,,1,"$1,726,532",,,02/17/23,P,
85,9-Jan-23,OTC - Stock,STAA US,Sell,Call,USD,68.56,17%,80.28,66.9,120.0%,,10-Feb-23,0,"30,000",$2.01,$2.41,,MS,1.25%,Expired,"$25,089",$0,"$25,089",,,1,"$1,751,621",,,02/10/23,C,
86,9-Jan-23,OTC - Stock,PDD US,Sell,Put,USD,92.45,11%,83.00,96.31,86.2%,,10-Feb-23,0,"10,300",$0.99,$0.85,,MS,1.74%,Expired,"$17,246",$0,"$17,246",,,1,"$1,768,867",,,02/10/23,P,
87,9-Jan-23,OTC - Stock,ONON US,Sell,Call,USD,21.18,11%,23.41,19.5048,120.0%,,9-Feb-23,0,"102,500",$2.00,$2.40,,GS,0.80%,Expired,"$15,994",$0,"$15,994",,,1,"$1,784,861",,,02/09/23,C,
88,9-Jan-23,OTC - Stock,SWAV US,Sell,Put,USD,180.45,11%,162.35,202.9418,80.0%,,10-Feb-23,0,"4,900",$0.99,$0.80,,GS,0.78%,Expired,"$7,756",$0,"$7,756",,,1,"$1,792,617",,,02/10/23,P,
89,9-Jan-23,OTC - Stock,SWAV US,Sell,Put,USD,180.45,5%,172.50,202.9418,85.0%,,10-Feb-23,0,"4,900",$0.99,$0.85,,GS,1.37%,Expired,"$13,623",$0,"$13,623",,,1,"$1,806,241",,,02/10/23,P,
90,9-Jan-23,OTC - Stock,STAA US,Sell,Call,USD,68.56,14%,78.33,65.2762,120.0%,,10-Feb-23,0,"30,600",$2.00,$2.40,,GS,1.09%,Expired,"$21,772",$0,"$21,772",,,1,"$1,828,013",,,02/10/23,C,
91,9-Jan-23,OTC - Stock,PYPL US,Sell,Call,USD,74.66,26%,93.77,78.1398,120.0%,,17-Feb-23,0,"25,600",$2.00,$2.40,,GS,1.34%,Expired,"$26,805",$0,"$26,805",,,1,"$1,854,818",,,02/17/23,C,
92,9-Jan-23,OTC - Stock,STAA US,Sell,Call,USD,70.24,11%,78.05,65.0457,120.0%,,17-Feb-23,0,"30,700",$2.00,$2.40,,GS,1.36%,Expired,"$27,158",$0,"$27,158",,,1,"$1,881,976",,,02/17/23,C,
93,9-Jan-23,OTC - Stock,MRNA US,Sell,Put,USD,169.28,17%,144.61,180.7652,80.0%,,10-Feb-23,0,"5,500",$0.99,$0.80,,GS,0.80%,Expired,"$7,954",$0,"$7,954",,,1,"$1,889,930",,,02/10/23,P,
94,10-Jan-23,OTC - Stock,STAA US,Sell,Call,USD,68.56,18%,80.84,67.37,120.0%,,10-Feb-23,0,"29,600",$1.99,$2.39,,MS,1.26%,Expired,"$25,127",$0,"$25,127",,,1,"$1,915,057",,,02/10/23,C,
95,11-Jan-23,OTC - Stock,EVO SS,Sell,Put,SEK,1256,25%,1007.10,1119,90.0%,,17-Mar-23,0,"9,354",$10.47,$0.90,,MS,2.10%,Expired,"$21,014",$0,"$21,014",,,0.095384,"$1,936,071",,,03/17/23,P,
96,11-Jan-23,OTC - Stock,ONON US,Sell,Call,USD,21.71,13%,24.50,20.414,120.0%,,13-Feb-23,0,"98,000",$2.00,$2.40,,GS,0.81%,Expired,"$16,205",$0,"$16,205",,,1,"$1,952,276",,,02/13/23,C,
97,11-Jan-23,OTC - Stock,PYPL US,Sell,Call,USD,79.45,19%,94.28,78.5634,120.0%,,13-Feb-23,0,"12,700",$1.00,$1.20,,GS,1.01%,Expired,"$10,077",$0,"$10,077",,,1,"$1,962,353",,,02/13/23,C,
98,11-Jan-23,Listed - Stock,SWAV US,Sell,Put,USD,199.37,17%,170.00,200,85.0%,,17-Feb-23,0,"5,000",$1.00,$0.85,,MS,2.51%,Expired,"$25,058",$0,"$25,058",,,1,"$1,987,411",,,02/17/23,P,SWAV US 02/17/23 P170 Equity
99,12-Jan-23,Listed - Stock,SWAV US,Sell,Put,USD,199.37,25%,160.00,201,79.6%,,17-Feb-23,0,"5,000",$1.01,$0.80,,MS,1.49%,Expired,"$14,948",$0,"$14,948",,,1,"$2,002,358",,,02/17/23,P,SWAV US 02/17/23 P160 Equity
100,13-Jan-23,OTC - Stock,300059 CH,Sell,Call,CNY,20.1,28%,25.74,21.45,120.0%,,13-Mar-23,0,"628,000",$13.47,$2.40,,MS,1.30%,Expired,"$25,936",$0,"$25,936",,,0.14602164,"$2,028,295",,,03/13/23,C,
101,13-Jan-23,OTC - Stock,002050 CH,Sell,Call,CNY,27.18,-1%,26.95,24.5,110.0%,,13-Feb-23,0,"276,700",$6.78,$1.11,,UBS,1.42%,Exercised,"$14,269","-$9,334","$4,935",,,0.146664124,"$2,042,564",,,02/13/23,C,
102,13-Jan-23,OTC - Stock,300285 CH,Sell,Put,CNY,30.63,26%,24.37,28.6741,85.0%,,13-Mar-23,0,"235,200",$6.74,$0.85,,UBS,0.90%,Expired,"$8,997",$0,"$8,997",,,0.14602164,"$2,051,561",,,03/13/23,P,
103,16-Jan-23,OTC - Stock,RMS FP,Sell,Put,EUR,1730,25%,1379.00,1622.3571,85.0%,,17-Mar-23,0,"1,230",$2.00,$1.70,,GS,1.07%,Expired,"$21,352",$0,"$21,352",,,1.067,"$2,072,913",,,03/17/23,P,
